@id,rdf:type,skos:inScheme,skos:topConceptOf,skos:broader,skos:prefLabel,rdfs:label,skos:altLabel[1],skos:altLabel[2],skos:altLabel[3],skos:altLabel[4],skos:altLabel[5],skos:altLabel[6],skos:altLabel[7],skos:note,pav:version
iskouk:VON5IJO7,skos:Concept,iskouk:subjects,,iskouk:KYMMW9O8,Universal Decimal Classification,,UDC,,,,,,,,
iskouk:Z00JMWB6,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Conceptual models,,,,,,,,,,
iskouk:U91TJTSJ,skos:Concept,iskouk:subjects,,iskouk:Z00JMWB6,FRBR,,Functional Requirements for Bibliographic Records,,,,,,,,
iskouk:I2ZHHLNZ,skos:Concept,iskouk:subjects,,iskouk:Z00JMWB6,FRSAD,,Functional Requirements for Subject Authority Data,,,,,,,,
iskouk:1YCTW7XZ,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Data architecture,,,,,,,,,,
iskouk:MDKDSCR7,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Data models,,,,,,,,,,
iskouk:X2SFPR3Q,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Domain models,,,,,,,,,,
iskouk:BPEVJUGL,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Faceted classification,,,,,,,,,,
iskouk:TWPFMU4L,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Filters,,,,,,,,,,
iskouk:FVKXA4HR,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Folksonomies,,,,,,,,,,
iskouk:P5UQOBEY,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Information architecture,,Content architecture,,,,,,,,
iskouk:Q4L57KRN,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Metadata,,,,,,,,,,
iskouk:5ZVVTVIZ,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Navigation systems,,,,,,,,,,
iskouk:4WNPCVVX,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Ontologies,,,,,,,,,,
iskouk:MCBV57TL,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Structured vocabularies,,Controlled vocabularies,,,,,,,,
iskouk:XWA97Y4T,skos:Concept,iskouk:subjects,,iskouk:MCBV57TL,Authority files,,,,,,,,,,
iskouk:SP6MREAA,skos:Concept,iskouk:subjects,,iskouk:MCBV57TL,Indexes,,,,,,,,,,
iskouk:YU6T0DJA,skos:Concept,iskouk:subjects,,iskouk:MCBV57TL,Library of Congress Subject Headings,,LCSH,,,,,,,,
iskouk:5ML5Q5CH,skos:Concept,iskouk:subjects,,iskouk:MCBV57TL,Multi-lingual vocabularies,,,,,,,,,,
iskouk:ZCU5FP4Z,skos:Concept,iskouk:subjects,,iskouk:MCBV57TL,SNOMED,,Read Codes,,,,,,,,
iskouk:MP3F7566,skos:Concept,iskouk:subjects,,iskouk:MCBV57TL,Synonym rings,,,,,,,,,,
iskouk:22THY8MD,skos:Concept,iskouk:subjects,,iskouk:MCBV57TL,Taxonomies,,,,,,,,,,
iskouk:7WVN21PO,skos:Concept,iskouk:subjects,,iskouk:MCBV57TL,Thesauri,,,,,,,,,,
iskouk:5E71PYGR,skos:Concept,iskouk:subjects,,iskouk:PU9QRADB,Topic maps,,,,,,,,,,
iskouk:8W4VOTG0,skos:Concept,iskouk:subjects,iskouk:subjects,,Knowledge visualization,,Visualising knowledge,,,,,,,,
iskouk:P3KFMFRE,skos:Concept,iskouk:subjects,,iskouk:8W4VOTG0,Knowledge graphs,,,,,,,,,,
iskouk:R3TLQ6R0,skos:Concept,iskouk:subjects,iskouk:subjects,,Management,,,,,,,,,,
iskouk:NH62N0UY,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Archives management,,Archival science,,,,,,,,
iskouk:C3JU69LD,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Change management,,,,,,,,,,
iskouk:FXZFJRNO,skos:Concept,iskouk:subjects,,iskouk:C3JU69LD,Requirements gathering,,,,,,,,,,
iskouk:6WLL4S41,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Collection management,,Collection development,,,,,,,,
iskouk:W3ENEJYW,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Digital asset management,,Media asset management,,,,,,,,
iskouk:VM1WFWR1,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Information management,,,,,,,,,,
iskouk:ZUR9HUXP,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Knowledge management,,,,,,,,,,
iskouk:9FLLMYOM,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Library and information services,,,,,,,,,,
iskouk:D6RYVIZS,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Programme management,,,,,,,,,,
iskouk:1TRGOFDN,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Project management,,,,,,,,,,
iskouk:W42YTR6R,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Records management,,,,,,,,,,
iskouk:YRCMXSO0,skos:Concept,iskouk:subjects,,iskouk:R3TLQ6R0,Strategic development,,,,,,,,,,
iskouk:8BBVYY0G,skos:Concept,iskouk:subjects,,iskouk:YRCMXSO0,Content strategies,,,,,,,,,,
iskouk:AWWBTKUU,skos:Concept,iskouk:subjects,,iskouk:YRCMXSO0,Digital strategies,,,,,,,,,,
iskouk:IOQ48TOR,skos:Concept,iskouk:subjects,iskouk:subjects,,Professional development,,,,,,,,,,
iskouk:8D3QU4J1,skos:Concept,iskouk:subjects,,iskouk:IOQ48TOR,Academic courses,,,,,,,,,,
iskouk:RD1G0HTM,skos:Concept,iskouk:subjects,,iskouk:IOQ48TOR,Career development,,,,,,,,,,
iskouk:333LTKLI,skos:Concept,iskouk:subjects,,iskouk:IOQ48TOR,Skills development,,,,,,,,,,
iskouk:MJJQL1BQ,skos:Concept,iskouk:subjects,,iskouk:IOQ48TOR,Training,,,,,,,,,,
iskouk:T8XMIVM7,skos:Concept,iskouk:subjects,iskouk:subjects,,Sectors,,,,,,,,,,
iskouk:HGEXO1DP,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Charities,,,,,,,,,,
iskouk:RLKI1546,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Commerce,,,,,,,,,,
iskouk:DRFAH2EM,skos:Concept,iskouk:subjects,,iskouk:RLKI1546,Banking,,,,,,,,,,
iskouk:HU6BN1JI,skos:Concept,iskouk:subjects,,iskouk:RLKI1546,e-Commerce,,,,,,,,,,
iskouk:DHASU2Q4,skos:Concept,iskouk:subjects,,iskouk:RLKI1546,Finance,,Banking,,,,,,,,
iskouk:FWXBPXIL,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Education,,,,,,,,,,
iskouk:ST2CTB0C,skos:Concept,iskouk:subjects,,iskouk:FWXBPXIL,Social learning,,,,,,,,,,
iskouk:005THP1B,skos:Concept,iskouk:subjects,,iskouk:FWXBPXIL,Universities,,Higher education,Academia,,,,,,,
iskouk:5Z1NUJ8G,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Engineering,,,,,,,,,,
iskouk:U74NOUUL,skos:Concept,iskouk:subjects,,iskouk:5Z1NUJ8G,Civil engineering,,,,,,,,,,
iskouk:M6H6XIBY,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Environment,,Environmental protection,,,,,,,,
iskouk:7QSL3R6N,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Health,,Healthcare,,,,,,,,
iskouk:U169R24M,skos:Concept,iskouk:subjects,,iskouk:7QSL3R6N,Health protection,,,,,,,,,,
iskouk:6DJ82O1I,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Humanities,,The Arts,Social science,,,,,,,
